"no","answer","question","option1","option2","option3","option4"
"217","4","下列授信案件，何者非屬本行「放款定價政策作業規範」之適用範圍？A.間接授信B.政策性貸款C.依「短天期授信固定利率定價標準」貸放之案件D.定存質借","(1)BC","(2)ABC","(3)AD","(4)ABCD"
"218","4","下列何者為本行「放款定價政策作業規範」之放款定價結構因子？A.資金成本率B.作業成本率C.預期損失率D.合理利潤利率","(1)AB","(2)BCD","(3)ACD","(4)ABCD"
"219","2","銀行接受無利害關係之第三人自願代為償還債務者，是否可以將本票、支票、借據等債權證明交予代償人？","(1)可以","(2)不可以","(3)依該第三人是否有請求","(4)依該第三人與原債務人間是否有協議"
"220","2","有關基準利率(季調)之規定，下列敘述何者錯誤？","(1)以金融業拆款中心之每日隔夜拆款加權平均利率，作為利率取樣來源","(2)以基準利率為計價基礎之放款，仍得減碼","(3)定期調整生效日為每年三、六、九、十二月之十五日","(4)基準利率每三個月調整乙次"
"221","4","有關本行所徵提副擔保融資之票據，下列敘述何者正確？","(1)經背書轉讓的票據一律不得融資，以確保本行債權","(2)背書轉讓之客票，只要核對統一發票即可","(3)背書轉讓之客票，借款人如為本行優良客戶，融資性的票據也可辦理","(4)背書轉讓之客票除應留意背書之連續性，並應洽請借戶提供背書人印鑑卡或變更登記事項表或相關資料供本行查證參考之用"
"222","4","甲公司99/12/31資產負債表，國內應收票據餘額700萬元，國內應收帳款餘額為300萬元，99年度營業額為6,000萬元，外銷占5成，他行庫有票據融資金額300萬元，依本行應收票據週轉金貸款要點辦理客票融資，貸放成數八成，最高額度可申請多少？","(1)800萬","(2)700萬","(3)600萬","(4)500萬"
"223","3","有關徵提「客票控管」為授信條件之注意事項，下列敘述何者正確？","(1)應向借戶徵提代收維持率之「同意書」","(2)免辦理票信照會與查核實際交易行為","(3)應向借戶徵提「應收票據明細表」","(4)票據兌現後,票款得存入借戶一般帳戶"
"224","1","王小姐於99.12.29以綜合存款帳戶內之二年期金額100萬元，固定利率2.68%之整存整付定期儲蓄存款質借20萬元，至存單到期日100.04.21解約清償時，其適用之質借利率為何？","(1)0.0418","(2)0.04305","(3)0.0368","(4)0.03805"
"225","2","有關以基準利率為計價基礎之放款，下列敘述何者正確？","(1)一律加碼，優良客戶得申請基準利率減碼","(2)若利率水準低於基準利率，改以郵儲一年期機動利率做為指標利率加(減)碼%方式約定","(3)若利率水準低於基準利率，改以CP(51328)90天期報價利率做為指標利率加(減)碼%方式約定","(4)一律加碼，不得減碼，惟對於定期(儲蓄)存款質借，可以適用基準利率減碼"
"226","3","依本行「短天期授信固定利率訂價標準」辦理之授信，下列敘述何者錯誤？","(1)一般貸款每次動用金額至少新臺幣壹仟萬(含)元以上","(2)國內(外)信用狀改貸新臺幣，不受每次動用金額至少新臺幣壹仟萬(含)元之限制","(3)「本行企業信用評等系統」之評等等級為第1-9等者為A級","(4)向客戶報價時，得以貸放日前二個營業日報價利率向客戶報價後承作"
"227","4","企業授信戶信用評等等級為第1-13等，且短期週轉金額度合計達新臺幣多少者，始得適用本行「短天期授信固定利率訂價標準」計息？","(1)1千萬元","(2)3千萬元","(3)5千萬元","(4)6千萬元"
"228","2","有關本行新臺幣存單之質借，下列敘述何者錯誤？","(1)定期儲蓄存款存單申請質借人限於原存款人","(2)定期存款存單申請質借人不限於原存款人","(3)定期自由儲蓄存款申請質借人限於原存款人，借款金額以萬元為單位","(4)益壽長青儲蓄存款質借期間在三個月以內者，按存單利率加碼1%計收"
"229","2","陳君於民國100年3月11日向本行借款金額為新臺幣200,000元，年息百分之5，期限12個月，101年3月11日到期。請問100年4月11日應繳付中間息金額為何？","(1)848元","(2)849元","(3)822元","(4)833元"
"230","3","稀朋公司於109.08.01繳納其在109.06.01借款新臺幣900萬元，五年期，年利率2%，本金按月平均攤還、利息按月繳納之中期擔保放款分期本金及自109.07.01起之利息，請問其應繳本息為？","(1)165,000元","(2)165,288元","(3)164,750元","(4)165,033元"
"231","4","綜合存款項下定期性存款質借時之處理原則，下列敘述何者錯誤？","(1)質借時以利率最低之定存優先質借","(2)償還時以質借時之最高利率優先償還","(3)質借利率依各筆存入定存利率加碼一．五％計收","(4)質借時依序由存單之高利率往低利率質借"
"232","2","有關本行新臺幣授信以「徵提客票控管」為授信條件者，下列敘述何者錯誤？","(1)應比照「應收票據週轉金貸款」辦理票信照會與查核實際交易行為","(2)買賣交易金額超逾新臺幣30萬以上方須查核實際交易行為","(3)自「備償帳戶」內抽、換票時，須經單位主管同意後始可辦理","(4)票據兌現後,票款不得存入借戶一般帳戶"
"233","4","A君提供一年期新臺幣定期存單質借，借款期間4個月又5天，存單利率1%，請問本筆借款之利率為何？","(1)0.0225","(2)0.025","(3)0.02625","(4)0.0275"
"234","4","下列何種授信項目，借款人於其支票存款戶餘額不足支付票款時，可在約定期限及額度內支用款項？","(1)貼現","(2)承兌","(3)買入光票","(4)透支"
"235","2","有關透支額度之申請，下列敘述何者錯誤？","(1)應單獨使用，不得與其他授信額度合用","(2)得併入綜合授信額度申請","(3)不另徵提本票或借據","(4)透支(擔保)契約期限應與下次年度審核日一致"
"236","4","有關透支業務，下列敘述何者錯誤？","(1)透支係專為財務優良且具自律精神之借款人，能在資金調度方面得到便利而設","(2)透支帳戶為資金調度之工具","(3)銀行對透支款項用於週轉之項目，亦不予硬性規定","(4)支票存款進出頻繁，所以透支款項可移作非經常性週轉之用或投資設備等中長期用途"
"237","1","有關透支的規定，下列敘述何者錯誤？","(1)積數的計算，以每日最後透支餘額為準","(2)必須明瞭借款人業務財務狀況，銀行往來情形等，俾對其能否自律，作適當之判斷","(3)係針對企業現金管理的缺口做補助性融資而設計","(4)透支正常用法是預防託收票據未能如期收妥時之資金缺口"
"238","4","下列何者非屬自償性融資？","(1)貼現","(2)出口押匯","(3)票據副擔保融資","(4)透支"
"239","4","有關透支戶之支取方式，下列何者正確？","(1)支取時，應出具撥款申請書兼債權憑證","(2)擔保透支動用時，應出具借據","(3)支取時，應出具取款憑單","(4)支取時使用支票或本票或利用自動化設備"
"240","2","有關辦理透支(擔保)業務應注意事項，下列敘述何者錯誤？","(1)透支戶簽訂透支(擔保透支)契約，不另徵提本票或借據","(2)無論是透支或擔保透支，契約期限依簽約日起算一年為期","(3)透支戶之支取得使用支票，或本票或利用自動化設備","(4)銀行必須明瞭借款人業務狀況、財務狀況、銀行往來情形及財務管理能力等，俾對其能否自律做適當之判斷"
"241","4","有關本行透支利息之計算，下列敘述何者錯誤？","(1)每月結息一次，計息期間為每月二十一日至次月二十日止(首尾日均計)","(2)透支利息滾入原本，雖不受透支限額之限制，但仍以不超過透支額度為原則","(3)每月計出之透支利息，應於二十一日入帳，滾入透支餘額","(4)透支積數係以每日透支餘額計算"
"242","3","A君於本行有透支額度新臺幣100萬元，前一日最後透支餘額新臺幣10萬元，本日早上提領現金新臺幣60萬元、下午匯入新臺幣30萬元，若無其他交易內容，請問本日計算透支利息計算之金額為何？","(1)40萬元","(2)60萬元","(3)70萬元","(4)30萬元"
"243","2","有關透支計息，下列敘述何者錯誤？","(1)以「每日最高透支餘額」與「前日最後透支餘額」二者之中其餘額較大者，視為最高透支餘額之積數計算利息","(2)每月結息一次，計息期間為每月二十一日至次月二十日止(首尾日均計)，如果二十日為例假日，則計算至二十一日止","(3)透支戶尚有透支餘額或透支利息未收者不得結清","(4)透支利息滾入本金後超過額度限額時，應即通知客戶就超出部分先行償還"
"244","4","有關透支與活利貸業務，下列敘述何者正確？","(1)二者均採每日最終餘額法計算借款利息","(2)均為准許借款人於其支票存款戶無存款餘額或餘額不足支付票款時，得在約定期限及額度內支用款項之經常性融資","(3)訂約文件均應徵提透支契約","(4)貸款利息滾入本金後貸款餘額超過貸款限額時，應即通知客戶就超過額度限額部分借款先行償還"
"245","4","下列何種票據不得辦理貼現？","(1)銀行承兌匯票","(2)本票","(3)商業承兌匯票","(4)遠期支票"
"246","4","有關貼現票據之徵提，下列敘述何者錯誤？","(1)本票發票日不得遲於到期日","(2)匯票發票日不得在承兌日之後","(3)貼現匯票，應由付款人承兌，及填註承兌日期","(4)借款人得提供遠期支票辦理貼現"
"247","4","下列何者可以辦理貼現？","(1)銀行保證發行之支票","(2)融通性票據","(3)實質交易行為所取得之支票","(4)合法商業行為所產生之本票或承兌匯票"
"248","2","有關貼現業務之敘述，下列何者正確？","(1)申請貼現之票據，如有背書，非以連續為要件","(2)申請貼現之票據，如為匯票者，應經付款人承兌","(3)申請貼現之票據，限銀行保證發行之支票","(4)銀行辦理承兌匯票之貼現，係以發票人信用為基礎"
"249","4","有關貼現業務，下列敘述何者錯誤？","(1)貼現之票據，自貼現之日起算，至票據到期日為止，原則上最多不超過一百八十日","(2)申請貼現人如與本行往來情形良好，且申請貼現次數頻繁者，得申請「貼現額度」","(3)經銀行承兌之「銀行承兌匯票」，得免徵提交易文件","(4)貨款訂金、保證金等融通性票據可辦理貼現"
"250","1","對於提前償還之貼現利息，下列敘述何者錯誤？","(1)已預收利息不得退還","(2)得退還預先多收取部份之利息","(3)退還利息，不得超過貼現當時利息之三分之二為原則","(4)退還利息之計算，應自償還日起至票據到期前一日止，其日數不得少於七天"
"251","4","有關貼現業務，下列敘述何者錯誤？","(1)申請貼現之人，須為依法登記之工商企業或其他經濟事業且與本行有存款往來者","(2)貼現票據以合法商業交易行為所產生的承兌匯票及本票為限","(3)經銀行承兌之「銀行承兌匯票」得免徵提合法商業交易行為之證明文件(如統一發票)","(4)非經金融機構保證發行且擔當付款人之商業本票，不得辦理貼現"
"252","3","貼現之票據，自貼現之日起算，至票據到期日為止，最長不得超過幾日？","(1)60天","(2)90天","(3)180天","(4)360天"
"253","4","借款人以未到期承兌匯票或本票讓與銀行，由銀行以預收利息方式先予墊付，俟本票或匯票到期時收取票款並償還墊款之融通方式，為下列何種授信？","(1)應收票據週轉金貸款","(2)承兌","(3)透支","(4)貼現"
"254","3","有關貼現票據之審核，下列敘述何者正確？","(1)經徵信調查承兌人、本票發票人信用正常，申請貼現人雖信用欠佳，仍可辦理貼現","(2)貨款訂金、保證金等票據可辦理貼現","(3)經禁止背書轉讓之本票，不得辦理貼現","(4)貼現之票據，自發票日起算，至票據到期日止，最多不得超過一百八十天"
"255","1","有關貼現利息之計算式，下列何者錯誤？","(1)貼現金額＝貼現票據面額—貼現票據到期附帶利息額","(2)貼現利息＝貼現金額×年息×貼現日數/365","(3)撥款金額＝貼現金額－貼現利息","(4)貼現日數︰從貼現當日起至票據到期前一日止之實際天數"
"256","1","有關貼現事後管理之敘述，下列何者錯誤？","(1)貼現之票據，如到期無法兌付票款時，得於貼現額度內再以另張票據貼現後抵償","(2)貼現票據退票後，應要求貼現人以現金清償票款","(3)對匯票承兌人及本票發票人之追索權自到期日起算三年","(4)對匯票及本票前手之追索權，自作成拒絕證書日起算一年"
"257","3","某甲因售貨取得面額新臺幣100,000元之銀行承兌匯票，到期日104年2月12日，票面息0％，某甲於104年1月18日辦理貼現，假定貼現息為7.7％，則存入某甲帳戶之金額為多少？","(1)99,465元","(2)100,000元","(3)99,473元","(4)100,225元"
"258","4","貼現票據背書，由甲、乙、丙依序背書，最後丙又空白背書交還甲，下列敘述何者錯誤？","(1)若由甲再予背書時、即為回頭背書(亦稱還原背書)","(2)如果甲再予背書，向本行申請貼現，則本行將喪失對乙、丙之追索權","(3)甲可無須再背書，向本行申請貼現，以免喪失對乙、丙之追索權","(4)甲要申請貼現，甲仍然要依序再背書，以免產生背書不連續問題"
"259","2","有關匯票承兌業務，下列敘述何者錯誤？","(1)申請科目為「應收承兌票款」","(2)承兌之期限，自承兌日起算至到期日止，最長不得超過365天","(3)承兌手續費按票面金額以年率百分之1，於辦理承兌時一次收取","(4)擔保物之徵提，原則上為承兌匯票面額之百分之50以上"
"260","1","有關匯票承兌業務應注意事項，下列敘述何者錯誤？","(1)徵提與承兌匯票同金額之支存還款本票，並以承兌匯票到期日之次一營業日為到期日","(2)應核對合法商業行為交易憑證","(3)應核對承兌匯票發票人簽章與訂約之印鑑是否相符","(4)承兌餘額有無超過契約限額"
"261","2","有關銀行辦理匯票承兌，下列敘述何者正確？","(1)匯票承兌業務不需有交易行為","(2)匯票承兌對象以依法登記之工商企業或其他經濟事業為限","(3)匯票承兌業務為融資性交易行為","(4)一般公司承兌之匯票委託銀行付款，謂之銀行承兌匯票"
"262","3","銀行受客戶之委託，擔任其所簽發匯票之付款人，並予以承兌付款之授信業務稱為？","(1)貼現","(2)保證","(3)承兌","(4)出口押匯"
"263","2","本行辦理匯票承兌業務，手續費於辦理承兌時一次按票面金額之多少年率計收？","(1)年率0.5%","(2)年率1%","(3)年率2%","(4)年率3%"
"264","3","有關匯票承兌之期限，自承兌日起算至到期日止，最長不得超過幾天？","(1)90天","(2)120天","(3)180天","(4)365天"
"265","2","有關銀行辦理匯票承兌業務，下列敘述何者錯誤？","(1)須查明買方就所涉及交易尚未付款外，並須要求匯票受款人須為賣方，始得接受辦理承兌","(2)買方就所涉及交易尚未付款，匯票受款人非為賣方，得接受辦理承兌","(3)買賣雙方交易已收付價金，不得辦理承兌","(4)經銀行承兌之匯票謂之銀行承兌匯票"
"266","4","有關本行賣方委託承兌業務作業要點，下列敘述何者錯誤？","(1)企業以實際交易所得之應收票據背書轉讓給本行，另行出具匯票方式，委託本行承兌","(2)本行承兌之匯票得持向貨幣市場獲取資金","(3)本行承兌之匯票得向本行貼現獲取資金","(4)本要點所稱應收票據指申請人基於商品銷售，所獲得之國內付款本票、匯票，不包括遠期支票"
"267","2","有關保證業務，下列敘述何者錯誤？","(1)保證業務本質上並非資金之貸與，而係一種書面上對第三者所出具之履約承諾","(2)保證業務本質上並非資金之貸與，故保證之風險，較一般放款輕微","(3)保證之方式可分為簽發保證函、簽發擔保信用狀、在商業本票上簽章保證等","(4)保證業務係本行接受客戶之委任，向指定之第三者出具保證書，擔保委任人依約履行之保證責任"
"268","3","營業單位申請保證責任之履行，應報請下列哪個單位核准？","(1)營業單位自行核准(由單位主管核定)","(2)所屬區域審核中心","(3)總行授信管理處","(4)總行債權管理處"
"269","2","有關保證業務辦理墊賠款項時，下列敘述何者錯誤？","(1)本行開具本行支票、臺支(加註禁止背書轉讓)或匯款，並指名被保證機構為受款人","(2)得委託「委任保證人」辦理賠繳墊付手續","(3)保證對造應於墊付款收據上表明本行代行墊付之意旨、內容、金額及委任保證人名銜","(4)本行墊賠以「應收帳款－保證款項墊付款」項目列帳"
"270","2","有關保證款項之展延規則，下列敘述何者錯誤？","(1)委任人填具「委任保證事項展期申請書兼約定事項」向本行申請","(2)委任人不用保證對造同意展延，也可向本行申請保證展延","(3)原保證書訂有期限時，收妥保證手續費後，應另發函或其他格式(例如通知書或同意書等)同意展延保證期限","(4)如為稅務保證案件，其原保證書未定有期限時，於收妥保證手續費後，即係同意展延，不另發保證書"
"271","4","銀行接受客戶之委任，向指定第三者出具保證書，擔保委任人依約履行保證責任之業務稱為？","(1)貼現","(2)承兌","(3)透支","(4)保證"
"272","3","本行辦理保證業務時，擔保品之徵提以不低於保證金額多少百分比為原則？","(1)百分之十","(2)百分之三十","(3)百分之五十","(4)百分之六十"
"273","4","本行接受客戶委託保證發行商業本票之保證期間，自發票日起算至商業本票到期日止，最長不得超過多久？","(1)90天","(2)120天","(3)180天","(4)360天"
"274","3","下列何項銀行授信業務，企業所取得之資金係來自貨幣市場而非銀行直接撥付？","(1)外銷貸款","(2)墊付國內票款","(3)保證發行商業本票","(4)貼現"
"275","2","營造廠商為參加公共工程投標需要，委任本行向招標機關簽發保證書(函)，此種保證稱為？","(1)工程履約保證","(2)工程押標金保證","(3)預付款保證","(4)保固保證"
"276","4","有關應收保證款項業務之手續費計收規定，下列敘述何者錯誤？","(1)於簽發保證文件時，按保證之期限一次計收","(2)保證手續費之計算以「元」為單位，「元」位以下一律四捨五入","(3)因本行保證責任係至保證止日之24時始終止，故保證手續費須依保證期間計收(即頭尾均計算)","(4)保證書未明定保證期限，保證期限逾期而未依規辦妥展期手續者，應於保證責任解除時，一律收取1期(6個月)之保證手續費"
"277","1","有關商業本票保證手續費之計收，下列敘述何者錯誤？","(1)保證手續費按年率百分之1.25計收","(2)未滿90天者，以90天計算","(3)超過90天者，按實際保證期間計算","(4)如係移送中小企業信保基金保證案件，另依信保基金規定加收信保手續費"
"278","3","有關商業本票保證之保證手續費收費標準，下列敘述何者正確?","(1)按年率2%計收","(2)不論期間長短，按實際保證期間計算","(3)保證期間未滿90天者，以90天計算","(4)得於商業本票兌現時一併收取"
"279","4","新臺幣保證業務(商業本票保證除外)每件最低收取新臺幣？","(1)100元","(2)200元","(3)500元","(4)1,000元"
"280","3","除發行商業本票保證外，新臺幣保證手續費收費標準，係以幾個月為一期？","(1)1個月","(2)3個月","(3)6個月","(4)12個月"
"281","4","承攬人委任本行向工程發包機關簽發保證書(函)，約定工程完工後之一定期間內，因施工不良等所生之瑕疵擔負保證責任者，為下列何種保證？","(1)工程履約保證","(2)工程押標金保證","(3)工程預付款保證","(4)保固保證"
"282","1","營建廠商承包工程，委任本行向工程發包機關簽發保證書(函)作為履行工程之擔保，此種保證稱為？","(1)履約保證","(2)押標金保證","(3)支付款保證","(4)保固保證"
"283","4","有關辦理本行「保證業務」之應注意事項，下列敘述何者錯誤?","(1)先放後稅進口貨物應繳稅費之保證書可提前二週(含)以內對海關簽發","(2)保證書內容如不同於本行制式格式內容，應經審核單位核准後對外簽發","(3)保證手續費係於簽發保證文件時，按保證之期限一次計收","(4)更新保證書之案件，新保證書之保證期限得與原保證書之保證期限重疊"
"284","2","有關以公共工程委員會公告之保證書範本簽發保證書之規定，下列敘述何者錯誤？","(1)簽發「押標金/保證金連帶保證書」，得免辦理送審","(2)簽發「保留款連帶保證書」，得免辦理送審","(3)簽發「履約保證金/保固保證金連帶保證書」，得免辦理送審","(4)簽發「預付款還款保證連帶保證書」，得免辦理送審"
"285","3","有關本行開立之保證書保證責任解除時點，下列敘述何者錯誤？","(1)押標金之保證，如不得標，原則上保證責任即自動解除","(2)保證對造寄還保證書正本","(3)無請求期限保證書於保證到期日當天上午","(4)保證對造書面同意解除保證責任"
"286","1","A公司為批發商，其向B公司購買商品，雙方訂有買賣合約及交易條件，並約定出貨前A公司須支付合約金額30%，供B公司購料使用，針對預先支付之合約金額30%部分，B公司須提供銀行出具之保證書，請問B公司應向本行申請何種保證業務？","(1)預付貨款保證","(2)貨款保證","(3)保留款保證","(4)差額保證金保證"
"287","4","承作發行公司債保證，本行應承擔之保證或擔保範圍，下列何者錯誤？","(1)本金","(2)利息","(3)遲延利息","(4)滯納金"
"288","1","有關本行貸款備償專戶及保管專戶規定，下列敘述何者錯誤？","(1)借款人名義備償專戶及保管專戶，顧客印鑑卡上立約印鑑應留存單位主管職章","(2)應收帳款承購及融資業務得開立本行名義備償專戶","(3)辦理應收票據週轉金貸款，不論票據禁背與否，皆存入借款人名義備償專戶","(4)授信條件要求票據之維持率，應開立保管專戶"
"289","3","有關本行應收票據週轉金貸款之規定，下列敘述何者錯誤？","(1)發票人如為借款人之關係企業，原則上不得受理","(2)應瞭解發票人與借款人經營產業之關聯性","(3)放款到期日應以轉讓票據日期最晚者再酌加7個營業日","(4)每筆融資金額以不超過應收票據金額八成為原則"
"290","4","受理以授信戶之應收票據或應收帳款為撥貸依據之貸款案件，下列敘述何者錯誤？","(1)應評估其應收票據及應收帳款之合理性","(2)應了解授信戶之產銷程序、銷售對象、賒銷金額、賒銷天數等經營狀況","(3)統一發票上所載品名與其行業是否相符、同一品名單價變化是否合理","(4)發票人、應收帳款債務人是否為授信之主要股東無須查核"
"291","4","有關保證業務相關規定，下列敘述何者錯誤？","(1)本行保證責任係至保證書保證止日之24時始終止","(2)本行制式保證書請求期間手續費之計收，須於授信條件敘明並以「帳務管理費」收取","(3)除發行商業本票保證及公司債保證外，其餘保證之保證書有效期間到期日，應為保證起日相對日之前一日","(4)因提早解除(部分)保證責任，客戶要求退還部分已收手續費時，得由營業單位經理逕行核定"
"292","4","有關銀行辦理保證業務，下列敘述何者錯誤？","(1)押標金之保證，如不得標，原則上保證責任即自動解除","(2)預付款保證之銀行，其保證責任以預付款扣除被保證機構已收回、可收回或承包商已償還金額之餘額為準，並以保證金額為上限","(3)發行商業本票保證時，每張面額以新臺幣10萬元或10萬元之倍數為單位","(4)應收保證款項業務，屬授信審核權限準則內之「B類無擔保授信」"
"293","2","有關稅務保證滯納金得申請專案核免條件，下列敘述何者錯誤？","(1)委任人已停業倒閉","(2)本稅尚未繳清","(3)須提供拍賣擔保品後尚不足清償之確實資料","(4)檢具法院破產宣告文件"
"294","3","有關新臺幣保證款項之手續費計收，下列何者錯誤？","(1)保證期間在一年以內者，為年率0.75%至1%","(2)保證期間在一年以上者，為年率1.25%至1.5%","(3)每件最低收費NT$500元","(4)以每六個月為一期，未滿六個月視為一期"
"295","4","A公司辦理押標金保證，金額80,000元，期間9個月，手續費率0.75%，應計收多少保證手續費？","(1)800元","(2)600元","(3)450元","(4)1,000元"
"296","4","有關保證手續費之收費標準，下列敘述何者錯誤？","(1)新臺幣保證一年以內按年息0.75%-1%，按期計收，最低收費新臺幣壹仟元","(2)新臺幣保證一年以上按年息1.25%-1.5%，按期計收，最低收費新臺幣壹仟元","(3)新臺幣保證項目保證手續費，每六個月為一期，未滿六個月視為一期","(4)移送中小企業信保基金保證案件，以本行向客戶收取手續費之1/2為信保基金手續費"
"297","4","除發行商業本票以外之各項新臺幣保證業務，保證手續費之收費標準，下列何者正確？","(1)以三個月為一期，未滿三個月視為一期計收","(2)如係中小企業信保基金保證案件，本行保證手續費須依基金保證成數照比例均分","(3)以六個月為一期，在保證期限內分次計收","(4)以六個月為一期，保證期限一年以內，年率百分之0.75~1，最低收費新臺幣一千元"
"298","1","有關辦理本行保證業務之注意事項，下列敘述何者錯誤？","(1)徵提擔保品五成以上者，為權限準則內「無擔保放款B類」授信","(2)本業務應徵提保證金額120%之本票","(3)保證手續費應於簽發保證文件時，按保證之期限一次計收","(4)營業單位簽發本行自訂之保證書格式內容，免經審核單位核准"
"299","3","有關保證責任解除之敘述，下列何者錯誤？","(1)商業本票之保證，保證之商業本票經付款後，解除保證責任","(2)一般保證案件，接獲被保證機構之書面解除函或作廢保證書後，解除保證責任","(3)押標金之保證，得標時，原則上保證責任即自動解除","(4)預付工程款，被保證機構以書面通知本行，本行便可按其比例自預付款保證額中部份沖銷本行保證責任"
"300","4","有關保證款項之期限展延，下列敘述何者錯誤？","(1)委任人須填具「委任保證事項展延申請書兼約定事項」向本行辦理展延保證期限之申請","(2)原發保證書訂有期限者，同意展延後須另發函同意展延保證期限","(3)原發保證書未訂期限者，同意展延後不另發保證書","(4)同意展延後，須請借保戶重新簽訂委任保證契約"
"301","2","依本行保證業務之保證手續費收費標準，倘A公司辦理押標金保證，金額800,000元，期間9個月，手續費年率百分之0.75，應計收多少保證手續費？","(1)8,000元","(2)6,000元","(3)4,500元","(4)5,000元"
"302","2","依本行「先放後稅進口貨物應繳稅費」保證規定，下列敘述何者錯誤？","(1)本項業務之保證書，可提前於2週(含)內對外簽發","(2)有超逾2週以上提前簽發之需求者，授權單位主管同意後辦理","(3)重簽(即更新)保證書之案件，其新保證書之起始日不可重疊原保證書之到期日","(4)向關稅局簽發之其他保稅保證書，可比照先放後稅保證規定辦理"
"303","4","有關國內即期信用狀手續費之計收，下列敘述何者錯誤？","(1)按信用狀有效期限，以月為計算單位，未滿整月之畸零天數以1個月計，如屬優良客戶者，得按實際天數計收","(2)以年率0.1%計收，但每筆最低收新臺幣500元","(3)申請人聲明並在借款申請書註明「押匯墊款欲改貸新臺幣借款」，其手續費得按每件新臺幣500元計收","(4)申請修改時，無論修改內容為何一律收新臺幣300元"
"304","2","有關國內遠期信用狀手續費之計收，下列敘述何者錯誤？","(1)開狀手續費每筆新臺幣500元","(2)承兌手續費按信用狀金額計收，包含以現金繳存保證金部分","(3)承兌手續費率以年率1%計收","(4)承兌匯票期限以3個月為一期，未滿3個月者按3個月計算"
"305","2","有關辦理國內信用狀之付款或承兌業務，下列敘述何者錯誤？","(1)匯票付款/承兌申請書原則上應由買賣雙方簽章","(2)倘申請人在信用狀申請書上特別指示者，匯票付款/承兌申請書得僅由申請人單獨蓋章","(3)統一發票開立之日期，不得遲於信用狀交貨期限","(4)發票之品名應與信用狀之內容相符"
"306","2","辦理國內即期信用狀融資，下列敘述何者正確？","(1)國內信用狀契約原則為一次訂立一年，優良客戶最長一次訂立五年","(2)押匯墊款欲改貸新臺幣借款，其開狀手續費得按每件新臺幣500元計收","(3)開狀人不改貸短期放款，墊款最長180天","(4)國內信用狀墊款期間利率依本行基準利率計收"
"307","1","國內即期信用狀應於本行墊款後幾日內，由申請人備款贖單？","(1)十日","(2)十五日","(3)二十日","(4)三十日"
"308","3","申請辦理國內即期信用狀業務，得應申請人要求貸予短期放款，其放款期間加計墊付期間，最長不逾多少天為原則？","(1)六十天","(2)一百二十天","(3)一百八十天","(4)三百六十五天"
"309","4","申請開發國內信用狀時，應依信用狀金額徵提多少百分比之保證金為原則？","(1)百分之二","(2)百分之三","(3)百分之五","(4)百分之十"
"310","3","國內信用狀有效期限(含修改延長)未經個案請准者，最長不得超過開狀日後幾個月？","(1)1個月","(2)2個月","(3)4個月","(4)6個月"
"311","2","開發國內信用狀契約，契約期限原則為一次訂立一年，惟如借戶信譽良好者，最長得一次訂立幾年？","(1)二年","(2)三年","(3)四年","(4)五年"
"312","3","賣方(即受益人)於接獲買方購貨之國內信用狀後，以收到之國內信用狀為質，向本行申請之融資業務應為下列何者？","(1)出口押匯","(2)貼現","(3)短期放款-信用狀副擔保","(4)開發國內信用狀"
"313","3","申請短期放款-信用狀副擔保，其最高融資限額不得超過信用狀金額多少百分比？","(1)0.75","(2)0.8","(3)0.85","(4)0.9"
"314","4","有關辦理國內遠期信用狀業務之規定，下列敘述何者錯誤？","(1)開狀手續費每筆新臺幣500元","(2)承兌匯票之到期日自發票日起算，未經個案請准最多不超過180天","(3)承兌手續費按信用狀金額(以現金繳存保證金部分免計)及匯票期限按年率1%計收，匯票期限以三個月為一期，未滿三個月者按三個月計算","(4)所計收之承兌手續費於信用狀開發後，得申請退還"
"315","2","有關辦理國內遠期信用狀業務之規定，下列敘述何者正確?","(1)承兌匯票其到期日自發票日起算最多不超過360天","(2)國內遠期信用狀承兌費，得約定由受益人(賣方)負擔，信用狀申請人開狀時，得同意暫不收取該項費用，承兌時再向受益人收取","(3)開狀手續費每筆新臺幣1,000元","(4)手續費及承兌手續費於信用狀開發後，提早結案可以申請退還"
"316","4","有關辦理以外幣開發國內信用狀業務之提示付款，下列敘述何者正確？","(1)按押匯當日本行外匯開盤時掛牌即期賣出匯率折算新臺幣給付之","(2)按押匯當日本行外匯開盤時掛牌即期買入匯率折算新臺幣給付之","(3)按押匯當時本行掛牌即期賣出匯率折算新臺幣給付之","(4)按押匯當時本行掛牌即期買入匯率折算新臺幣給付之"
"317","3","辦理以外幣開發國內信用狀時，下列敘述何者錯誤？","(1)申請外幣開狀暫以國內即期信用狀為限","(2)每筆信用狀之開狀或付款時，須折算為新臺幣記帳，銷帳時亦同","(3)折算匯率得按開狀、提示(或墊付)當時之本行外匯業務匯率優待辦法議價","(4)申請幣別暫以美金、港幣、日圓、英鎊、歐元等五種外幣"
"318","2","申請開發國內信用狀且予以辦理短期放款墊款融資者，原則上應另徵提信用狀金額多少百分比之擔保品？","(1)百分之二十","(2)百分之三十","(3)百分之四十","(4)百分之五十"
"319","1","開狀人遺失國內信用狀，申請補發之手續費如何計收？","(1)每件新臺幣200元","(2)依開狀金額0.1%計收","(3)每件新臺幣500元","(4)免收"
"320","2","下列何者，非以授信戶之應收帳款為融資之標的？","(1)預約匯款融資","(2)開發國內信用狀","(3)供應鏈整合階段融資","(4)臺塑網訂單融資"
